expediente,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad,IUM
19927063,METFORMINA TABLETAS 850 MG,LABORATORIO PROFESIONAL FARMACÉUTICO S.A.S - LABORATORIOS LAPROFF S.A.S.,INVIMA 2012M-0001103-R1,21/02/2002,13/07/2017,Vencido,19927063,1,30.0,CAJA PLEGADIZA POR 30 TABLETAS EN TRES BLISTER PVC/AL PORSIN DATO10 TABLETAS CADA UNO .,Inactivo,11/10/2006,19/05/2023,No,U,A10BA02,METFORMINA,ORAL,A,METFORMINA CLORHIDRATO,mg,85000000.0,POR TABLETA RECUBIERTA,TABLETA CUBIERTA CON PELICULA,LABORATORIO PROFESIONAL FARMACEUTICO S.A.S. - LABORATORIOS LAPROFF S.A.S.,FABRICANTE,FABRICAR Y VENDER,
48095,NUTREN 1.0 CON FIBRA,LABORATORIOS BAXTER S.A.,INVIMA 2002 M-014283 R1,01/01/1999,18/10/2012,Vencido,48095,4,6.0,BOLSA DE FOIL DE ALUMINIO/POLIETILENO DE ALTA DENSIDAD POR 1000 ML. 6 UNIDADES POR CAJA,Inactivo,11/10/2006,18/10/2012,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,B,VITAMINA K,æg,500000.0,100 MILILITROS,SUSPENSION ORAL,LABORATORIOS BAXTER S.A.,IMPORTADOR,IMPORTAR Y VENDER,
48095,NUTREN 1.0 CON FIBRA,LABORATORIOS BAXTER S.A.,INVIMA 2002 M-014283 R1,01/01/1999,18/10/2012,Vencido,48095,5,6.0,BOLSA DE FOIL DE ALUMINIO/POLIETILENO DE ALTA DENSIDAD POR 1500 ML. 6 UNIDADES POR CAJA,Inactivo,11/10/2006,18/10/2012,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,B,MAGNESIO,mg,2680000.0,100 MILILITROS,SUSPENSION ORAL,LABORATORIOS BAXTER S.A.,IMPORTADOR,IMPORTAR Y VENDER,
19927504,MIOBION(R) 1000 JERINGA PRELLENADA,MERCK S.A.,INVIMA 2002M-0001527,06/07/2002,20/06/2012,Vencido,19927504,7,100.0,JERINGA DE VIDRIO DESECHABLE PRELLENADA X 2 ML. EN CAJAS DE CARTON HOSPITALARIA X 100 JERINGAS DESECHABLES EN BLISTER MAS AGUJAS,Inactivo,11/10/2006,20/06/2012,No,U,A11DA01,TIAMINA (VIT B1),PARENTERAL,A,CIANOCOBALAMINA,mg,100000.0,JERINGA PRELLENADA,SOLUCION INYECTABLE,MERCK SHARP & DOHME DE MEXICO S.A. DE C.V.,FABRICANTE,IMPORTAR Y VENDER,
19927569,ACETAMINOFEN GOTAS,GRUPO INTERNACIONAL FARMACEUTICO GRUFARMA S.A.S.,INVIMA 2002M-0001200,20/03/2002,04/09/2012,Vencido,19927569,1,15.0,FRASCO- GOTERO POR 15 ML.,Inactivo,11/10/2006,04/09/2012,No,ml,N02BE01,PARACETAMOL,ORAL,C,ACETAMINOFEN,mg,10000000.0,MILILITRO,SOLUCION ORAL,BIOGEN LABORATORIOS DE COLOMBIA S.A.S.,FABRICANTE,FABRICAR Y VENDER,
19927834,VERAPAMILO TABLETAS 80 MG,LABORATORIO PROFESIONAL FARMACEUTICO S.A.S. - LABORATORIOS LAPROFF S.A.S.,INVIMA 2002M-0001266,04/09/2002,22/04/2012,Vencido,19927834,3,50.0,CAJA X 50 TABLETAS EN BLISTERSIN DATOPVC/ALU X 10 TABLETAS CADA BLISTER,Inactivo,20/04/2007,22/04/2012,No,U,C08DA01,VERAPAMIL,ORAL,A,VERAPAMILO CLORHIDRATO,mg,8000000.0,TABLETA,TABLETA,LABORATORIO PROFESIONAL FARMACEUTICO S.A.S. - LABORATORIOS LAPROFF S.A.S.,FABRICANTE,FABRICAR Y VENDER,
19928418,CLORHIDRATO DE MIDAZOLAM INYECTABLE 1 MG / ML,BAXTER HEALTHCARE CORPORATION OF PUERTO RICO,INVIMA 2002M-0001418,05/07/2002,21/05/2012,Vencido,19928418,3,10.0,FRASCO AMPOLLA AMBAR TIPO I POR 10 ML,Inactivo,11/10/2006,21/05/2012,No,U,N05CD08,MIDAZOLAM,PARENTERAL,A,CLORHIDRATO DE MIDAZOLAM,mg,200000.0,AMPOLLA POR 2 ML,SOLUCION INYECTABLE,PATHEON PUERTO RICO. INC,FABRICANTE,IMPORTAR Y VENDER,
19928628,TEARS NATURALE FORTE,ALCON LABORATORIES INC.,INVIMA 2002M-0001492,28/05/2002,06/06/2012,Vencido,19928628,4,15.0,CAJA CON FRASCO GOTERO EN POLIETILENO DE BAJA DENSIDAD POR 15 ML.,Inactivo,11/10/2006,06/06/2012,No,ml,S01GX09,OLOPATADINA,CONJUNTIVAL,C,DEXTRAN 70,mg,100000.0,1ML,SOLUCION OFTALMICA,ALCON LABORATORIES INC.,FABRICANTE,IMPORTAR Y VENDER,
26446,LIPOSYN(R) II 20%,HOSPIRA INC.,INVIMA 2006 M-008656-R2,01/01/1999,02/01/2016,Vencido,26446,1,200.0,FRASCO DE VIDRIO TRANSPARENTE TIPO II PARA SOLUCIONES I.V.. DE 200 ML..,Inactivo,11/10/2006,02/01/2016,No,ml,B05BA02,EMULSIONES LIPIDAS,INTRAVENOSA,C,ACEITE DE SOYA PURIFICADO,mg,10000000.0,1 ML DE EMULSIÓN GRASA INTRAVENOSA,EMULSION INYECTABLE,HOSPIRA LIMITADA,IMPORTADOR,IMPORTAR Y VENDER,
19928841,EXPULBIL,LABORATORIOS FINLAY DE COLOMBIA S.A.S,INVIMA 2002M-0001461,22/05/2002,06/11/2012,Vencido,19928841,7,60.0,FRASCOS DE POLIETILENO DE ALTA DENSIDAD CON 60 TABLETAS CUBIERTAS CADA FRASCO.,Inactivo,11/10/2006,06/11/2012,No,U,A12AA20,CALCIO (DIFERENTES SALES EN COMBINACION),ORAL,A,VITAMINA D3 TIPO 100 RECUBIERTA (COLECALCIFEROL) EQUIVALENTE A VITAMINA D,IU,25000000.0,TABLETA,TABLETA CUBIERTA CON PELICULA,ARBOFARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER,
19929137,ECOX 400®,VESALIUSPHARMAS.A.S,INVIMA 2012M-0001529-R1,06/12/2002,11/02/2017,Vencido,19929137,6,30.0,CAJA POR 30 TABLETAS EN BLISTER ALUMINIO-PVC/PVDC (CADA BLISTER POR 10 TABLETAS).,Inactivo,09/07/2012,11/02/2017,No,U,J04AK02,ETMABUTOL,ORAL,A,ETAMBUTOL CLORHIDRATO,mg,40000000.0,TABLETA CUBIERTA,TABLETA RECUBIERTA,MACLEODS PHARMACEUTICALS LTD,FABRICANTE,IMPORTAR Y VENDER,
1980650,VITROSAN TABLETAS,BONOMERCAD S.A.,INVIMA M-004839,01/01/1999,05/07/2006,Vencido,1980650,4,60.0,CAJA DISPENSADORA POR 160 TABLETAS,Inactivo,11/10/2006,05/07/2006,No,U,SIN DATO,SIN DATO,SIN DATO,S,ASPARTAMO,mg,2000000.0,CADA TABLETA,TABLETA,FARMACOOP S.A.,FABRICANTE,FABRICAR Y VENDER,
19929488,MATERNAMIN NF TABLETAS,LABORATORIOS SIEGFRIED S.A.S.,INVIMA 2002M-0001609,07/08/2002,15/07/2012,Vencido,19929488,9,100.0,CAJA POR 100 TABLETAS EN FOIL DE ALUMINIO.,Inactivo,11/10/2006,15/07/2012,No,U,A11AA01,MULTIVITAMINAS MAS HIERRO,ORAL,A,HIERRO AMINOQUELADO EQUIVALENTE A HIERRO ELEMENTAL,mg,3000000.0,TABLETA,TABLETA RECUBIERTA,LABORATORIOS SIEGFRIED S.A.S.,FABRICANTE,FABRICAR Y VENDER,
19929549,CETIRIZINA 5 MG + PSEUDOEFEDRINA 120 MG CAPSULAS.,DISTRIBUCIONES UQUIFA S.A.S,INVIMA 2002M-0001557,20/06/2002,25/06/2012,Vencido,19929549,1,2.0,MUESTRA MEDICA: CAJA CON 2 CAPSULAS EN BLISTER PVDC/ALUMINIO.,Inactivo,11/10/2006,25/06/2012,Si,U,R01BA53,FENILEFRINA COMBINACIONES,ORAL,A,CETIRIZINA DICLORHIDRATO PELLETS 7.5% (66.67 MG) EQUIVALENTE A CETIRIZINA DICLORHIDRATO 5 MG,mg,500000.0,CAPSULA DURA,CAPSULA DURA,TITAN LABORATORIES PVT. LTD.,FABRICANTE,FABRICAR Y VENDER,
19929554,CALTROX VITAMINA D TABLETAS,LABORATORIOS FARMACEUTICOS OPHALACS.A.,INVIMA 2002M-0001801,31/08/2002,09/11/2012,Vencido,19929554,1,30.0,CAJA X 30 TABLETAS EN 3 BLISTER PVC TRANSPARENTE/ALUMINIO X 10 TABLETAS CADA UNO.,Inactivo,11/10/2006,09/11/2012,No,U,A12AA20,CALCIO (DIFERENTES SALES EN COMBINACION),ORAL,A,VITAMINA D TIPO 100EQUIVALENTE A 200 UI,mg,300000.0,TABLETA CUBIERTA,TABLETA CUBIERTA CON PELICULA,SERVICIO TECNICO GONHER FARMACEUTICA LTDA.,FABRICANTE,FABRICAR Y VENDER,
19929767,UNIDERM B AEROSOL,GRUPO UNIPHARM S.A. Y/O LABORATORIOS UNI S.A.,INVIMA 2002M-0002003,24/10/2002,11/06/2012,Vencido,19929767,1,20.0,MUESTRA MÉDICA:FRASCO AEROSOL LATA DE ALUMINIO POR 20 G EN CAJA.,Inactivo,11/10/2006,11/06/2012,No,U,D07CC01,BETAMETASONA Y ANTIBIOTICOS,TOPICA (EXTERNA),B,BETAMETASONA VALERATO EQUIVALENTE A BETAMETASONA,mg,100000.0,1 G DE SOLUCION,SOLUCION TOPICA,GRUPO UNIPHARM S.A. Y/O LABORATORIOS UNI S.A.,IMPORTADOR,IMPORTAR Y VENDER,
19930292,SOLUCION DP PISA 2.5%,LABORATORIOS PISA S.A. DE C.V.,INVIMA 2002M-0001888,20/09/2002,10/02/2012,Vencido,19930292,6,1000.0,DOBLE VIA: 1000 ML.,Inactivo,11/10/2006,10/02/2012,No,U,B05BB01,ELECTROLITOS,PARENTERAL,A,CLORURO DE SODIO,mg,56700000.0,100ML,SOLUCION INYECTABLE,FUNDACION MUNDO SIN CANCER,IMPORTADOR,IMPORTAR Y VENDER,
19930293,SOLUCION DP PISA 4.25%,LABORATORIOS PISA S.A. DE C.V.,INVIMA 2002M-0001914,27/09/2002,10/09/2012,Vencido,19930293,13,2000.0,DOBLE BOLSA CON CONEXIONES EN Y POR 2000 ML,Inactivo,11/10/2006,10/09/2012,No,U,SIN DATO,SIN DATO,PARENTERAL,C,GLUCOSA MONOHIDRATADA 4.25 G. EQUIVALENTE A GLUCOSA ANHIDRA,g,386400.0,100 ML.,SOLUCION ESTERIL PARA IRRIGACION,FUNDACION MUNDO SIN CANCER,IMPORTADOR,IMPORTAR Y VENDER,
19930293,SOLUCION DP PISA 4.25%,LABORATORIOS PISA S.A. DE C.V.,INVIMA 2002M-0001914,27/09/2002,10/09/2012,Vencido,19930293,14,5000.0,DOBLE BOLSA CON CONEXIONES EN Y POR 5000 ML,Inactivo,11/10/2006,10/09/2012,No,U,SIN DATO,SIN DATO,PARENTERAL,C,CLORURO DE MAGNESIO HEXAHIDRATADO,mg,1520000.0,100 ML.,SOLUCION ESTERIL PARA IRRIGACION,PISA FARMACEUTICA DE COLOMBIA S.A.,IMPORTADOR,IMPORTAR Y VENDER,
19930535,METROPOLOL 100 MG TABLETAS,LABORATORIOS FARMACEUTICOS OPHALACS.A.,INVIMA 2002M-0001706,08/06/2002,20/08/2012,Vencido,19930535,4,100.0,CAJA X 100 TABLETAS,Inactivo,11/10/2006,20/08/2012,No,U,C07AB02,METOPROLOL,ORAL,A,METOPROLOL TARTRATO,mg,10000000.0,TABLETA,TABLETA,BLISTECO S.A.S.,FABRICANTE,FABRICAR Y VENDER,
230131,PREGNACARE CAPSULAS,VITABIOTICS LTDA,INVIMA M- 011915,01/01/1999,02/11/2009,Vencido,230131,2,4.0,CAJA POR 4 CAPSULAS EN BLISTER ALUMINIO/PVC MUESTRA MEDICA,Inactivo,15/02/2007,02/11/2009,No,U,B03AE04,HIERRO-MULTIVITAMINAS Y MINERALES,ORAL,A,ACIDO FOLICO,æg,40000000.0,CAPSULA,CAPSULA DURA,VITABIOTICS LTDA,FABRICANTE,IMPORTAR Y VENDER,
19931813,MULTIVITAMIN M NUTRITECH,PROCAPS S.A.,INVIMA 2003M-0002206,14/02/2003,26/02/2013,Vencido,19931813,2,60.0,BLISTER DE PVC EN FOIL DE ALUMINIO POR 10 TABLETAS. EN CAJA POR 60 TABLETAS,Inactivo,11/10/2006,26/02/2013,No,U,A11AA01,MULTIVITAMINAS MAS HIERRO,ORAL,A,SULFATO DE COBRE 5.2 MG. EQUIVALENTE A COBRE,mg,200000.0,TABLETA,TABLETA,NATURES PRODUCTS. INC.,FABRICANTE,IMPORTAR Y VENDER,
19932297,OLICLINOMEL N7 - 1000E,CLINTEC PARENTERAL S.A.,INVIMA 2002M-0001980,21/10/2002,11/05/2012,Vencido,19932297,3,2000.0,2000ML EN BOLSA DE 3 COMPARTIMENTOS (800ML DE SOLUCIÀN DE AMINOACIDOS- 800 ML DE SOLUCIÀN DE GLUCOSA+ ELECTROLITOS- 400ML DE EMU,Inactivo,11/10/2006,11/05/2012,No,U,B05BA10,COMBINACIONES,PARENTERAL,C,GLICINA,g,103000.0,100ML,EMULSION INYECTABLE,CLINTEC PARENTERAL S.A.,FABRICANTE,IMPORTAR Y VENDER,
19932297,OLICLINOMEL N7 - 1000E,CLINTEC PARENTERAL S.A.,INVIMA 2002M-0001980,21/10/2002,11/05/2012,Vencido,19932297,4,2500.0,2500ML EN BOLSA DE 3 COMPARTIMENTOS (1000ML DE SOLUCION DE AMINOACIDOS-1000ML DE SOLUCIÀN DE GLUCOSA + ELECTROLITOS- 500ML DE EM,Inactivo,11/10/2006,11/05/2012,No,U,B05BA10,COMBINACIONES,PARENTERAL,C,CLORURO MAGNÉSICO HEXAHIDRATADO,g,0.112,100ML,EMULSION INYECTABLE,BAXTER S.A,FABRICANTE,IMPORTAR Y VENDER,
19932298,OLICLINOMEL N6-900E,CLINTEC PARENTERAL S.A.,INVIMA 2003M-0002899,18/11/2003,28/11/2013,Vencido,19932298,4,2500.0,BOLSA PLASTICA X 2500 Y EN FUNDA DE ALUMINIO O PLASTICO TRANSPARENTE,Inactivo,11/10/2006,28/11/2013,No,U,B05BA10,COMBINACIONES,PARENTERAL,A,ACETATO DE SODIO 3H2O,g,0.612,100 ML.,SOLUCION INYECTABLE,LABORATORIOS BAXTER S.A.,IMPORTADOR,IMPORTAR Y VENDER,
19932298,OLICLINOMEL N6-900E,CLINTEC PARENTERAL S.A.,INVIMA 2003M-0002899,18/11/2003,28/11/2013,Vencido,19932298,4,2500.0,BOLSA PLASTICA X 2500 Y EN FUNDA DE ALUMINIO O PLASTICO TRANSPARENTE,Inactivo,11/10/2006,28/11/2013,No,U,B05BA10,COMBINACIONES,PARENTERAL,A,L-TREONINA,g,0.357,100 ML.,SOLUCION INYECTABLE,LABORATORIOS BAXTER S.A.,IMPORTADOR,IMPORTAR Y VENDER,
19932313,PENICILINA G SODICA 1.000.000 UI,LABORATORIOS BLASKOV LTDA.,INVIMA 2002M-0001957,16/10/2002,18/11/2012,Vencido,19932313,1,100.0,FRASCO DE VIDRIO TIPO I. INCOLORO ETIQUETADO EN BANDEJA POR 100 UNIDADES,Inactivo,11/10/2006,18/11/2012,No,U,J01CE01,BENZILPENICILINA,PARENTERAL,A,PENICILINA G SODICA,IU,100000000000.0,FRASCO VIAL,POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE,FARMALOGICA S.A.,FABRICANTE,FABRICAR Y VENDER,
226258,CLOROQUINA COMPRIMIDOS 250 MG,LABORATORIOS CHILE S.A,INVIMA M- 011025,01/01/1999,25/06/2008,Vencido,226258,1,10.0,CAJA POR 10 COMPRIMIDOS EN BLISTER ALUMINIO/PVC,Inactivo,11/10/2006,25/06/2008,No,U,P01BA01,CLOROQUINA,ORAL,A,CLOROQUINA DIFOSFATO,mg,25000000.0,COMPRIMIDO,TABLETA,TEVA PHARMACEUTICALS COLOMBIA S.A.S.,IMPORTADOR,IMPORTAR Y VENDER,
226300,PENICILINA G SODICA 1.000.000 UI POLVO PARA SOLUCION INYECTABLE,LABORATORIOS CHILE S.A,INVIMA M- 010983,01/01/1999,17/06/2008,Vencido,226300,4,100.0,PRESENTACIÀN HOSPITALARIA: CAJA POR 100 AMPOLLAS DE VIDRIO INCOLORO TIPO I,Inactivo,11/10/2006,17/06/2008,No,U,J01CE01,BENZILPENICILINA,PARENTERAL,A,PENICILINA G SODICA ESTERIL EQUIVALENTE A PENICILINA G,IU,100000000000.0,FRASCO-AMPOLLA,POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE,LABORATORIOS BUSSIE BUSTILLO & CIA. S.C.A.,IMPORTADOR,IMPORTAR Y VENDER,
19934153,VITAMINA E 400 UI CAPSULAS,SWISS HERBALL S.A.S.,INVIMA2011M-0012383,31/03/2003,04/10/2013,Vencido,19934153,3,100.0,FRASCO PVC AMBAR POR 100 CAPSULAS BLANDAS,Inactivo,11/10/2006,04/10/2013,No,U,A11HA03,TOCOFEROL (VIT E),ORAL,A,VITAMINA E (ACETATO DE DL ALFA TOCOFERILO) 400 MG.EQUIVALENTE A VITAMINA E,UI,40000000.0,CAPSULA BLANDA,CAPSULA BLANDA,SWISS HERBALL S.A.S.,IMPORTADOR,IMPORTAR. ENVASAR Y VENDER,
45930,LINCOMICINA 600 MGINYECTABLE,MEMPHIS PRODUCTS S.A.,INVIMA 2003 M-014077 R-1,13/04/1993,28/03/2013,Vencido,45930,6,12.0,CAJA X 6 AMPOLLAS DE VIDRIO TRANSPARENTE TIPO I X 2 ML.,Inactivo,11/10/2006,28/03/2013,No,ml,J01FF02,LINCOMICINA,PARENTERAL,A,LINCOMICINA CLORHIDRATO 680.40 MGEQUIVALENTE ALINCOMICINA BASE,mg,60000000.0,AMPOLLA POR 2 ML.,SOLUCION INYECTABLE,VITALIS S.A. C.I.,FABRICANTE,FABRICAR Y VENDER,
19935512,METRONIDAZOL 500 MG/100ML,EUROPACK SYSTEM LTDA,INVIMA 2003M-0002341,04/03/2003,16/04/2013,Vencido,19935512,1,10.0,CAJA POR UN FRASCO DE VIDRIO AMBAR TIPO II POR 100ML. CON TAPON Y AGRAFE,Inactivo,11/10/2006,16/04/2013,No,ml,J01XD01,METRONIDAZOL,PARENTERAL,A,METRONIDAZOL BASE,mg,50000000.0,100ML DE SOLUCION ESTÉRIL,SOLUCION INYECTABLE,VITALIS S.A. C.I.,FABRICANTE,FABRICAR Y VENDER,
19935925,TERBIDERM TABLETAS.,PHARMADERM S.A.,INVIMA 2003M-0002404,05/12/2003,21/05/2013,Vencido,19935925,11,4.0,MUESTRA MEDICA: CAJA POR 4 TABLETAS EN BLISTER PVC/ALUMINIO,Inactivo,28/09/2011,21/05/2013,Si,U,D01BA02,TERBINAFINA,ORAL,A,TERBINAFINA CLORHIDRATO 288.88 MG EQUIVALENTE A TERBINAFINA BASE,mg,25000000.0,TABLETA,TABLETA,BIOQUIMICO PHARMAS.A.,FABRICANTE,FABRICAR Y VENDER,
19936357,MEZCLA SALINA PARA HEMODIALISIS DT 136/40,FRESENIUS MEDICAL CARE AG&CO. KGAA,INVIMA 2003M-0002731,09/01/2003,15/09/2013,Vencido,19936357,1,7730.0,CAJA X 10 BOLSAS DE POLIETLENO POR 773. 0 G DE POLVO C/U,Inactivo,11/10/2006,15/09/2013,No,g,B05ZA98,CONCENTRADO PARA HEMODIALISIS,HEMODIALISIS,D,CLORURO DE SODIO PARA HEMODIALISIS,g,40240000.0,CADA 773.0 G DE POLVO,POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE,FRESENIUS MEDICAL CARE ARGENTINA S.A.,FABRICANTE,IMPORTAR Y VENDER,
19937379,CIPLANEVIMUNE® SUSPENSIÓN ORAL,CIPLA LTD.,INVIMA 2014M-0003023-R1,21/01/2004,29/01/2020,Vencido,19937379,2,100.0,FRASCO EN VIDRIO COLOR AMBAR POR 100 ML CON TAPA DE POLIPROPILENO Y LINER DE POLIETILENO,Inactivo,11/10/2006,15/12/2014,No,ml,J05AG01,NEVIRAPINA,ORAL,B,NEVIRAPINA HEMIHIDRATO EQUIVALENTES A NEVIRAPINA,mg,100000000.0,100 ML DE SUSPENSIÓN ORAL,SUSPENSION ORAL,CIPLALIMITED.,FABRICANTE,IMPORTAR Y VENDER,
19937539,CETIRIZINA 1% GOTAS,LABORATORIOSRICHMOND COLOMBIA S.A.S.,INVIMA 2003M-0002563,07/03/2003,30/07/2013,Vencido,19937539,4,30.0,CAJA CON UN FRASCO DE VIDRIO AMBAR CON ETIQUETA AUTOADHESIVA. POR 30 ML.,Inactivo,28/10/2010,30/07/2013,No,ml,R06AE07,CETIRIZINA,ORAL,B,CETIRIZINA DICLORHIDRATO,mg,1000000.0,1 ML (APROX. 20 GOTAS),SOLUCION ORAL,LABORATORIOS HIGEA DE COLOMBIA LTDA.,FABRICANTE,FABRICAR Y VENDER,
19938617,MICRHOGAM 50 MCGINMUNOGLOBULINARHO (D) ULTRAFILTRADA,ORTHO - CLINICAL DIAGNOSTICS INC.,INVIMA 2004M-0003034,21/01/2004,02/03/2014,Vencido,19938617,2,25.0,CAJA X 25 JERINGAS,Inactivo,11/10/2006,02/03/2014,No,U,J06BB01,INMUNOGLOBULINA ANTI D (RH),PARENTERAL,S,INMUNOGLOBULINA HUMANA IGG,æg,5000000.0,ML.,SOLUCION INYECTABLE,ORTHO - CLINICAL DIAGNOSTICS INC.,FABRICANTE,IMPORTAR Y VENDER,
19939685,CEFTRIAXONA 1 G POLVO PARA SOLUCION INYECTABLE,MEMPHIS PRODUCTS S.A.,INVIMA 2003M-0002777,23/09/2003,15/10/2013,Vencido,19939685,2,10.0,CAJA PLEGADIZA CON FRASCO VIDRIO TIPO I POR 10 UNIDADES,Inactivo,11/10/2006,15/10/2013,No,U,J01DD54,CEFTRIAXONA,PARENTERAL,A,CEFTRIAXONA SODICA ESTERIL EQUIVALENTE A CEFTRIAXONA BASE 1G,mg,119700.0,FRASCO VIAL,POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE,VITALIS S.A. C.I.,FABRICANTE,FABRICAR Y VENDER,
19940616,GRANUDIAL AF12 CONCENTRADO ACIDO SECO PARA HEMODIALISIS,FRESENIUSDEUTSCHLAND GMBH,INVIMA 2004M-0003559,13/07/2004,30/07/2014,Vencido,19940616,1,1.0,CAJA X5 BOLSAS DE POLIETILENO. ASI: 1 DE GRANUDIAL AF52SG(4.179KG). 3 DE GRANUDIAL AF00(6.273KG). 1 DE GRANUDIAL XN103(1.492KG),Inactivo,11/10/2006,30/07/2014,No,U,B05ZA98,CONCENTRADO PARA HEMODIALISIS,HEMODIALISIS,A,GRANUDIAL AF52SG QUE CONTIENE POR CADA 1000G: CLORURO DE SODIO,g,48939000.0,CAJA DE GRANULADO PARA RECONSTITUCION A 100L DE SOLUCION PARA HEMODIALISIS,POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE,SMAD Z.I.,FABRICANTE,IMPORTAR Y VENDER,
225159,FORCAL TABLETAS,LABORATORIOS LISTER S.A.,INVIMA M-011876,01/01/1999,02/04/2009,Vencido,225159,2,500.0,FRASCO PLASTICO POR 50 TABLETAS,Inactivo,11/10/2006,02/04/2009,No,U,A12AA20,CALCIO (DIFERENTES SALES EN COMBINACION),BUCAL,A,CARBONATO DE CALCIO EQUIVALENTE A CALCIO,mg,60000000.0,TABLETA,TABLETA MASTICABLE,LABORATORIOS LISTER S.A.,FABRICANTE,FABRICAR Y VENDER,
19941659,ACETAMINOFEN -FENILEFRINA CLORHIDRATO-CETIRIZINA BEBIDA CALIENTE .,TECNOQUIMICAS S.A. (PLANTA YUMBO),INVIMA 2005M-0004643,08/09/2005,09/01/2015,Vencido,19941659,24,24.0,CAJA DE CARTON POR 24 SOBRES. CADA SOBRE POR 15 GRAMOS.,Inactivo,05/08/2010,09/01/2015,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,D,FENILEFRINA CLORHIDRATO,mg,1000000.0,CADA SOBRE POR 15 G,GRANULOS,TECNOQUIMICAS S.A.,IMPORTADOR,IMPORTAR. SEMIELABORAR Y VENDER,
19942574,3M AVAGARD 9232 ANTISEPTIC HAND AND BODY WASH CLORHEXIDINE GLUCONATE 2% W/W SOLUTION BOTTE .(LAVADO ANTISEPTICO DE MANOS Y CUERPO CON GLUCONATO DE CLORHEXIDINA AL 2% P/P FRASCO,3M COLOMBIA S.A.,INVIMA 2004M-0003826,28/09/2004,19/10/2014,Vencido,19942574,1,125.0,BOPTELLA HDPE POR 125 ML,Inactivo,11/10/2006,19/10/2014,No,ml,D06AA04,TETRACICLINA,TOPICA (EXTERNA),B,GLUCONATO DE CLORHEXIDINA,mg,2000000.0,G,SOLUCION TOPICA,3M PHARMACEUTICALS PTY LIMITED (3M ASUTRALIA PTY LIMITED),FABRICANTE,IMPORTAR Y VENDER,
19942677,AMOXICILINASANDOZ® 250 MG/5 ML POLVO PARA SUSPENSIONORAL,SANDOZGMBH,INVIMA 2004M-0003207,20/03/2004,14/04/2014,Vencido,19942677,2,60.0,CAJA POR UN FRASCO DE VIDRIO AMBAR POR 60 ML.,Inactivo,11/10/2006,14/04/2014,No,ml,J01CA04,AMOXICILINA,ORAL,E,AMOXICILINA TRIHIDRATO EQUIVALENTE A AMOXICILINA,g,500000.0,CADA 11 G. PARA PREPARAR 100 ML. DE SUSPENSION.,POLVO PARA RECONSTITUIR A SUSPENSION ORAL,SANDOZGMBH,FABRICANTE,IMPORTAR. ENVASAR Y VENDER,
19942777,DEXAMETASONA 8 MG / 2 ML SOLUCIÓN INYECTABLE,LABORATORIO BIOSANO S.A.,INVIMA 2015M-0003622-R1,08/02/2004,17/09/2020,Vencido,19942777,9,50.0,CAJA POR 50 AMPOLLAS DE 2 ML EN VIDRIO BOROSILICATO TIPO I COLOR ÁMBAR EN BLISTERPACK DE PAPEL PVC O TERMOFORMADO.,Inactivo,11/10/2006,17/09/2020,No,U,H02AB02,DEXAMETASONA,INTRAVENOSA,A,DEXAMETASONA FOSFATO SODICO (EQUIVALENTE A 8 MG DE DEXAMETASONA),mg,1052000.0,CADA AMPOLLA POR 2 ML.,SOLUCION INYECTABLE,SICMAFARMA S.A.S.,IMPORTADOR,IMPORTAR Y VENDER,
19943777,AMIKACINA100 MG /2 ML,COLMED LTDA,INVIMA 2015M-0003225-R1,25/03/2004,23/02/2020,Vencido,19943777,1,2.0,CAJA POR 2 AMPOLLA DE VIDRIO AMBAR TIPO ISIN DATOPOR 2 ML.,Inactivo,11/10/2006,23/02/2020,No,U,J01GB06,AMIKACINA,INTRAMUSCULAR,A,AMIKACINA SULFATO EQUIVALENTE A AMIKACINA,mg,10000000.0,AMPOLLA DE DOS (2) ML.,SOLUCION INYECTABLE,PHARMAYECT S.A.,FABRICANTE,FABRICAR Y VENDER,
